属性グループ名,数
所属課,5
組織区分,5
退職予定,5
班相当格,5
配属先,5
勤務地区分,5
階層2,5
役職（統合）,5
課・担当,5
異動,5
組,5
入社方法,5
上司,5
ｸﾞﾙｰﾌﾟ,5
本社・支店・関連会社,5
勤務拠点,5
組織_部室,5
組織_グループ,5
組織_部門,5
生年月日（10年）,5
職務内容（観光バス）,4
役付,4
階層1,4
資格名称,4
部・支社,4
所,4
部名,4
年齢別,4
旧所属,4
Business/L1.5,4
係・拠点,4
仮想組織_3,4
部2,4
学年,4
事業部/本部,4
勤務地限定,4
新規属性①,4
所属滞留年数,4
グループ・担当,4
入庁年度,4
班・課等,4
エリア／課,4
部門3,4
部下の有無,4
所属（部）,4
勤続年数＋採用形態,4
等級（統合）,4
4th組織,4
等級（詳細）,4
部門②,4
現地法人,4
PJ,4
Div.,4
退職フラグ,4
新卒・中途,4
Group/L4,4
回答方法,4
入社属性,4
集計グループ,4
在籍会,4
社員区分・役職・等級,4
部・センター,4
勤続年数（5年刻み）,4
本部・室,4
Organization,4
役付コード,4
定期中間採用区分,4
支店・課,4
支社・支店,4
3rd組織,4
出身会社,4
直属上司,4
所属（統括本部）,4
雇用形態（統合）,4
国籍（統合）,4
組織（統合）,4
Age 10 years,4
所属区分,4
退職者,4
組織階層６,4
課・支店,4
職掌区分,4
部署4,4
Section/L3,4
Team/L5,4
Expatriate,4
所属名3,4
担当・班,4
Dept.,4
仮想組織_4,4
部署・事業所,4
プロダクト,4
所属店舗,4
等級滞留年数,4
会社区分,4
新規属性②,4
官・参事等,4
子の有無,4
部門・チーム,4
所属②,4
部門1,4
部門2,4
採用方法,4
Age 1 year,4
課／グループ,4
園,4
業態,4
組織10：会社,4
センター単位,4
所属事業部,4
階級,4
MG,4
所課,4
部室店,4
経営,4
Department/L2,4
部門名,4
BG／統轄本部,4
物件,4
第五階層,4
雇用形態-２,4
出張所,4
Base,4
Sex,4
所属名1,4
職員区分,4
配偶者の有無,4
所属オフィス,4
グループ・チーム,4
ラベル,4
仕事エリア,4
現場,4
部（一部対象者）,4
Length of service,3
所属部署（部）,3
拠点・ライン,3
原籍会社略称,3
主な職種,3
校舎名,3
現資格滞留年数,3
部門①,3
対象,3
統括・工場・事業部,3
業種,3
勤務期間,3
二段部,3
三段部,3
旧組織,3
技術分野,3
科,3
BU／事業本部／本部,3
所属名4,3
勤務時間帯,3
本部／部／室,3
職掌／役職,3
採用経路,3
部門毎,3
サブグループ,3
所属３,3
身分区分,3
職種区分,3
課2,3
在宅勤務率,3
レイヤー,3
Joined Year,3
組織ポジョン,3
人事制度コース,3
旧チーム,3
ステータス,3
社名,3
役職２,3
部長,3
呼称,3
会社（法人）,3
属性21年代１,3
事業部相当格,3
組織_技術研究所,3
係（店舗）,3
組織名称,3
